Economic_Resilience_Index;Country;Fiscal_space;Monetary_policy_space;low-carbon_economy;Insurance_penetration;Financial_Market_development;Human_capital;Economic_complexity;Labour_market_efficiency;Banking_industry_backdrop;Macroeconomic_Resilience_index;Year
1;Switzerland;1.00;0.08;1.00;0.70;1.00;0.83;1.00;0.92;1.00;0.84;2019
2;Canada;0.99;0.17;0.44;0.62;1.00;0.93;0.45;0.95;0.88;0.81;2019
3;Finland;0.99;0.08;0.66;0.91;0.88;1.00;0.83;1.00;0.73;0.80;2019
4;United States;0.96;0.17;0.40;1.00;1.00;0.82;0.85;0.79;1.00;0.80;2019
5;Norway;0.99;0.16;1.00;0.29;0.73;0.73;0.37;0.89;0.81;0.76;2019
6;United Kingdom;0.93;0.12;0.75;0.92;1.00;0.77;0.79;0.61;0.88;0.74;2019
7;Netherlands;1.00;0.08;0.47;0.80;0.73;0.88;0.58;0.82;0.87;0.75;2019
8;Sweden;0.98;0.08;1.00;0.57;0.79;0.84;0.90;0.65;0.64;0.71;2019
9;Denmark;0.99;0.08;1.00;0.97;0.33;0.88;0.53;0.74;1.00;0.72;2019
10;Germany;1.00;0.08;0.72;0.47;0.75;0.86;1.00;0.53;0.78;0.71;2019
11;Australia;0.95;0.12;0.27;0.31;0.85;0.83;0.00;0.96;0.63;0.71;2019
12;Japan;0.82;0.08;0.41;0.77;0.90;1.00;1.00;0.74;0.73;0.69;2019
13;New Zealand;0.90;0.14;0.80;0.33;0.08;0.77;0.07;0.90;0.95;0.66;2019
14;Austria;0.99;0.08;0.92;0.25;0.40;0.84;0.84;0.82;0.55;0.69;2019
15;Chile;1.00;0.37;0.77;0.28;0.00;0.36;0.00;1.00;0.37;0.66;2019
16;France;0.97;0.08;0.83;0.80;0.63;0.68;0.75;0.69;0.37;0.66;2019
17;South Korea;0.96;0.15;0.11;0.98;0.79;1.00;1.00;0.56;0.37;0.67;2019
18;Ireland;1.00;0.08;0.88;0.60;0.48;0.94;0.69;0.22;0.92;0.64;2019
19;Belgium;0.93;0.08;0.60;0.43;0.27;0.79;0.40;0.56;0.41;0.57;2019
20;Brazil;0.75;0.19;0.91;0.21;0.46;0.00;0.20;0.82;0.00;0.52;2019
21;China;1.00;0.30;0.14;0.24;0.52;0.28;0.38;0.24;0.22;0.54;2019
22;South Africa;0.50;0.65;0.00;1.00;0.31;0.00;0.00;0.76;0.29;0.49;2019
23;Spain;0.83;0.08;0.84;0.33;0.96;0.75;0.39;0.49;0.30;0.57;2019
24;Turkey;0.89;0.61;0.69;0.00;0.33;0.30;0.17;0.30;0.00;0.52;2019
25;India;0.99;0.28;0.50;0.18;0.19;0.00;0.17;0.30;0.00;0.48;2019
26;Russia;1.00;0.43;0.07;0.00;0.00;0.94;0.21;0.00;0.30;0.48;2019
27;Mexico;0.59;0.48;0.50;0.02;0.00;0.08;0.52;0.75;0.08;0.45;2019
28;Portugal;0.86;0.08;0.74;0.40;0.44;0.79;0.11;0.00;0.39;0.45;2019
29;Hungary;0.46;0.27;0.67;0.02;0.00;0.76;0.76;0.60;0.20;0.39;2019
30;Italy;0.17;0.08;0.88;0.70;0.79;0.75;0.66;0.10;0.11;0.25;2019
31;Greece;0.00;0.08;0.46;0.00;0.17;0.42;0.02;0.00;0.00;0.05;2019
1;Switzerland;1.00;0.11;1.00;0.70;1.00;0.84;1.00;0.93;1.00;0.84;2018
2;Canada;0.99;0.20;0.28;0.61;1.00;0.94;0.45;1.00;0.96;0.83;2018
3;Finland;1.00;0.13;0.73;0.89;0.88;1.00;0.83;1.00;0.70;0.81;2018
4;United States;0.90;0.24;0.20;1.00;1.00;0.80;0.85;0.78;1.00;0.78;2018
5;Norway;1.00;0.16;1.00;0.26;0.73;0.73;0.37;0.89;0.81;0.76;2018
6;Sweden;1.00;0.12;1.00;0.55;0.79;0.80;0.90;0.73;0.71;0.75;2018
7;United Kingdom;0.94;0.16;0.85;0.95;1.00;0.77;0.79;0.66;0.94;0.77;2018
8;Denmark;1.00;0.11;1.00;0.94;0.33;0.87;0.53;0.80;1.00;0.74;2018
9;Netherlands;1.00;0.13;0.49;0.83;0.73;0.88;0.58;0.69;0.87;0.74;2018
10;New Zealand;0.95;0.21;0.92;0.34;0.08;0.78;0.07;0.91;1.00;0.70;2018
11;Japan;0.93;0.11;0.55;0.76;0.90;1.00;1.00;0.77;0.71;0.74;2018
12;Germany;1.00;0.13;0.62;0.45;0.75;0.87;1.00;0.54;0.84;0.72;2018
13;Australia;0.90;0.20;0.15;0.38;0.85;0.83;0.00;1.00;0.61;0.71;2018
14;Chile;1.00;0.41;0.73;0.28;0.00;0.34;0.00;1.00;0.39;0.67;2018
15;France;0.97;0.13;0.93;0.79;0.63;0.69;0.75;0.72;0.31;0.67;2018
16;Austria;0.99;0.13;1.00;0.26;0.40;0.83;0.84;0.68;0.56;0.67;2018
17;South Korea;0.96;0.20;0.27;0.96;0.79;1.00;1.00;0.39;0.35;0.64;2018
18;South Africa;0.79;0.40;0.00;1.00;0.31;0.00;0.00;0.52;0.29;0.52;2018
19;Ireland;0.98;0.13;0.96;0.61;0.48;0.94;0.69;0.03;0.95;0.61;2018
20;Brazil;0.94;0.23;1.00;0.18;0.46;0.00;0.20;0.75;0.00;0.58;2018
21;Belgium;0.97;0.13;0.53;0.42;0.27;0.79;0.40;0.56;0.44;0.59;2018
22;China;1.00;0.32;0.03;0.22;0.52;0.28;0.38;0.24;0.22;0.55;2018
23;Turkey;0.86;0.25;0.62;0.00;0.33;0.32;0.17;0.29;0.00;0.45;2018
24;Spain;0.52;0.13;0.77;0.35;0.96;0.74;0.39;0.33;0.23;0.44;2018
25;India;0.99;0.31;0.37;0.16;0.19;0.00;0.17;0.30;0.18;0.50;2018
26;Mexico;0.44;0.32;0.65;0.01;0.00;0.08;0.52;0.67;0.02;0.36;2018
27;Russia;1.00;0.36;0.00;0.00;0.00;0.89;0.21;0.00;0.23;0.46;2018
28;Portugal;0.54;0.13;0.88;0.47;0.44;0.78;0.11;0.00;0.45;0.35;2018
29;Hungary;0.58;0.30;0.55;0.02;0.00;0.75;0.76;0.50;0.16;0.41;2018
30;Italy;0.36;0.13;0.77;0.69;0.79;0.74;0.66;0.00;0.17;0.32;2018
31;Greece;0.00;0.13;0.49;0.00;0.17;0.43;0.02;0.00;0.00;0.05;2018
1;Switzerland;1.00;0.09;1.00;0.72;1.00;0.86;1.00;0.87;1.00;0.83;2017
2;Canada;0.99;0.15;0.41;0.59;0.85;0.95;0.43;1.00;1.00;0.81;2017
3;Finland;0.99;0.10;0.72;0.89;0.90;1.00;0.83;1.00;0.69;0.80;2017
4;Norway;0.98;0.13;1.00;0.26;0.69;0.71;0.38;0.99;0.85;0.77;2017
5;United States;0.95;0.17;0.30;1.00;1.00;0.83;0.87;0.75;1.00;0.79;2017
6;Sweden;0.99;0.10;1.00;0.52;0.79;0.80;0.92;0.79;0.67;0.75;2017
7;United Kingdom;0.94;0.12;0.82;0.97;1.00;0.78;0.80;0.52;0.94;0.74;2017
8;New Zealand;0.95;0.19;0.92;0.32;0.13;0.78;0.06;1.00;1.00;0.72;2017
9;Germany;1.00;0.10;0.61;0.45;0.65;0.87;1.00;0.58;0.80;0.71;2017
10;Denmark;0.99;0.09;1.00;0.92;0.38;0.88;0.54;0.79;1.00;0.74;2017
11;Netherlands;1.00;0.10;0.51;0.84;0.73;0.90;0.60;0.63;0.87;0.73;2017
12;Australia;0.90;0.18;0.13;0.41;0.88;0.83;0.00;1.00;0.59;0.71;2017
13;Japan;0.76;0.09;0.50;0.72;0.92;1.00;1.00;0.77;0.66;0.67;2017
14;Chile;1.00;0.40;0.71;0.28;0.00;0.33;0.00;1.00;0.39;0.66;2017
15;France;0.94;0.10;0.96;0.78;0.65;0.71;0.76;0.69;0.26;0.64;2017
16;South Africa;0.91;0.66;0.00;1.00;0.27;0.00;0.00;0.65;0.26;0.61;2017
17;Austria;0.99;0.10;1.00;0.27;0.31;0.83;0.84;0.54;0.52;0.63;2017
18;Ireland;0.90;0.10;0.91;0.63;0.48;0.93;0.71;0.04;0.96;0.58;2017
19;South Korea;0.96;0.18;0.25;1.00;0.90;1.00;1.00;0.18;0.33;0.61;2017
20;China;1.00;0.28;0.00;0.25;0.52;0.28;0.37;0.24;0.21;0.54;2017
21;Brazil;0.99;0.24;1.00;0.21;0.38;0.00;0.21;0.74;0.00;0.59;2017
22;Belgium;0.95;0.10;0.55;0.41;0.29;0.80;0.40;0.55;0.37;0.57;2017
23;Mexico;0.85;0.54;0.68;0.00;0.00;0.08;0.55;0.61;0.03;0.53;2017
24;Turkey;0.93;0.44;0.49;0.00;0.35;0.33;0.14;0.53;0.00;0.55;2017
25;Russia;1.00;0.41;0.00;0.00;0.00;0.91;0.17;0.00;0.20;0.46;2017
26;Spain;0.80;0.10;0.80;0.36;1.00;0.72;0.39;0.27;0.22;0.52;2017
27;India;1.00;0.27;0.32;0.16;0.17;0.00;0.17;0.28;0.10;0.48;2017
28;Portugal;0.82;0.10;0.97;0.42;0.50;0.79;0.09;0.00;0.43;0.45;2017
29;Italy;0.38;0.10;0.82;0.69;0.85;0.75;0.66;0.00;0.06;0.31;2017
30;Hungary;0.37;0.28;0.59;0.02;0.00;0.76;0.78;0.31;0.16;0.31;2017
31;Greece;0.00;0.10;0.50;0.00;0.29;0.44;0.03;0.00;0.00;0.06;2017
1;Canada;0.99;0.12;0.33;0.59;0.90;0.96;0.42;0.97;0.99;0.80;2016
2;Switzerland;1.00;0.08;1.00;0.74;1.00;0.87;1.00;0.71;1.00;0.80;2016
3;Finland;0.98;0.09;0.61;0.92;0.90;1.00;0.80;1.00;0.63;0.79;2016
4;Norway;0.99;0.12;1.00;0.29;0.77;0.70;0.45;0.93;0.93;0.78;2016
5;United States;0.97;0.13;0.23;1.00;1.00;0.85;0.88;0.60;1.00;0.76;2016
6;Sweden;1.00;0.08;1.00;0.49;0.79;0.80;0.92;0.83;0.68;0.75;2016
7;New Zealand;0.94;0.19;0.82;0.33;0.06;0.77;0.10;0.96;1.00;0.70;2016
8;United Kingdom;0.94;0.10;0.73;0.83;0.90;0.78;0.80;0.37;1.00;0.70;2016
9;Germany;1.00;0.09;0.56;0.45;0.65;0.88;1.00;0.51;0.64;0.67;2016
10;Netherlands;1.00;0.09;0.47;0.88;0.65;0.91;0.59;0.47;0.81;0.68;2016
11;Chile;1.00;0.42;0.58;0.31;0.00;0.31;0.00;0.91;0.40;0.65;2016
12;Denmark;0.99;0.08;0.90;0.89;0.27;0.89;0.57;0.58;0.82;0.67;2016
13;Japan;0.90;0.08;0.43;0.79;0.81;1.00;1.00;0.65;0.67;0.69;2016
14;Australia;0.82;0.17;0.07;0.49;0.94;0.83;0.00;0.95;0.57;0.67;2016
15;France;0.95;0.09;0.89;0.79;0.50;0.73;0.75;0.62;0.40;0.63;2016
16;South Africa;0.92;0.66;0.00;1.00;0.23;0.00;0.00;0.98;0.10;0.65;2016
17;Austria;0.99;0.09;0.98;0.29;0.27;0.82;0.82;0.33;0.47;0.58;2016
18;China;1.00;0.26;0.00;0.22;0.58;0.28;0.35;0.19;0.47;0.56;2016
19;South Korea;0.93;0.15;0.21;1.00;0.94;1.00;0.99;0.03;0.22;0.56;2016
20;Mexico;0.94;0.64;0.57;0.00;0.00;0.08;0.57;0.51;0.04;0.56;2016
21;Belgium;0.97;0.09;0.47;0.43;0.15;0.81;0.40;0.42;0.45;0.55;2016
22;Brazil;0.99;0.25;1.00;0.21;0.33;0.00;0.26;0.59;0.00;0.56;2016
23;Ireland;1.00;0.09;0.81;0.63;0.44;0.93;0.68;0.00;0.85;0.58;2016
24;Russia;1.00;0.44;0.00;0.00;0.02;0.94;0.19;0.00;0.40;0.49;2016
25;Turkey;0.85;0.35;0.50;0.00;0.25;0.34;0.13;0.42;0.00;0.47;2016
26;India;0.99;0.26;0.33;0.16;0.10;0.00;0.14;0.21;0.19;0.47;2016
27;Spain;0.77;0.09;0.73;0.39;0.98;0.71;0.41;0.23;0.29;0.51;2016
28;Portugal;0.56;0.09;0.91;0.41;0.48;0.81;0.10;0.00;0.33;0.34;2016
29;Italy;0.22;0.09;0.75;0.69;0.75;0.76;0.67;0.00;0.00;0.24;2016
30;Hungary;0.21;0.28;0.55;0.02;0.00;0.78;0.75;0.00;0.21;0.20;2016
31;Greece;0.00;0.09;0.43;0.00;0.23;0.45;0.02;0.00;0.00;0.05;2016
1;Canada;0.99;0.11;0.37;0.59;0.96;0.97;0.44;1.00;0.95;0.81;2015
2;Switzerland;0.99;0.07;1.00;0.78;1.00;0.88;1.00;0.71;1.00;0.80;2015
3;Finland;0.94;0.09;0.66;1.00;0.92;1.00;0.83;1.00;0.58;0.77;2015
4;Norway;0.98;0.12;1.00;0.28;0.77;0.70;0.45;0.94;0.85;0.77;2015
5;United States;0.96;0.11;0.27;1.00;1.00;0.84;0.87;0.57;1.00;0.75;2015
6;Sweden;0.98;0.08;1.00;0.55;0.79;0.79;0.93;0.76;0.65;0.73;2015
7;United Kingdom;0.94;0.11;0.72;0.89;0.92;0.78;0.83;0.33;0.96;0.70;2015
8;New Zealand;0.89;0.21;0.85;0.37;0.00;0.80;0.14;0.96;0.95;0.68;2015
9;Germany;1.00;0.09;0.57;0.48;0.75;0.88;1.00;0.52;0.54;0.68;2015
10;Chile;1.00;0.42;0.67;0.28;0.00;0.30;0.00;0.87;0.32;0.63;2015
11;Netherlands;1.00;0.09;0.48;0.94;0.63;0.92;0.60;0.37;0.71;0.65;2015
12;Denmark;0.99;0.08;0.93;0.84;0.38;0.88;0.55;0.45;0.84;0.65;2015
13;France;0.91;0.09;0.80;0.81;0.50;0.74;0.74;0.56;0.38;0.60;2015
14;South Africa;0.88;0.32;0.00;1.00;0.17;0.00;0.01;0.93;0.02;0.56;2015
15;Austria;0.98;0.09;1.00;0.32;0.25;0.80;0.82;0.26;0.43;0.56;2015
16;China;1.00;0.24;0.00;0.15;0.54;0.28;0.37;0.23;0.45;0.56;2015
17;Australia;0.68;0.18;0.10;0.56;0.92;0.84;0.00;0.98;0.46;0.62;2015
18;South Korea;0.87;0.15;0.24;1.00;0.94;1.00;0.98;0.00;0.19;0.53;2015
19;Japan;0.70;0.07;0.47;0.89;0.79;1.00;1.00;0.65;0.64;0.62;2015
20;Mexico;0.95;0.26;0.60;0.00;0.00;0.09;0.56;0.54;0.00;0.50;2015
21;Brazil;0.82;0.10;1.00;0.18;0.40;0.00;0.28;0.66;0.00;0.50;2015
22;Belgium;0.94;0.09;0.49;0.46;0.27;0.82;0.40;0.31;0.35;0.52;2015
23;Russia;1.00;0.42;0.02;0.00;0.00;0.87;0.18;0.00;0.39;0.48;2015
24;India;0.98;0.26;0.37;0.13;0.13;0.00;0.16;0.07;0.04;0.43;2015
25;Turkey;0.76;0.36;0.58;0.00;0.29;0.35;0.13;0.48;0.00;0.46;2015
26;Ireland;0.95;0.09;0.72;0.60;0.35;0.90;0.67;0.00;0.80;0.55;2015
27;Spain;0.41;0.09;0.73;0.33;1.00;0.70;0.43;0.22;0.16;0.37;2015
28;Italy;0.00;0.09;0.75;0.75;0.77;0.75;0.67;0.10;0.00;0.18;2015
29;Hungary;0.00;0.29;0.57;0.02;0.00;0.77;0.73;0.11;0.23;0.15;2015
30;Portugal;0.00;0.09;0.88;0.55;0.48;0.79;0.11;0.00;0.31;0.15;2015
31;Greece;0.00;0.09;0.42;0.00;0.31;0.46;0.03;0.00;0.00;0.06;2015
1;Canada;0.98;0.12;0.14;0.55;0.92;0.98;0.46;1.00;0.90;0.79;2014
2;Switzerland;0.99;0.07;1.00;0.78;1.00;0.89;1.00;0.71;1.00;0.80;2014
3;Finland;0.95;0.08;0.35;1.00;0.85;1.00;0.83;0.97;0.57;0.75;2014
4;Norway;0.98;0.13;1.00;0.28;0.73;0.71;0.41;0.93;0.75;0.75;2014
5;Sweden;0.95;0.07;0.94;0.52;0.79;0.77;0.93;0.67;0.63;0.70;2014
6;United States;0.95;0.10;0.09;1.00;1.00;0.83;0.85;0.51;0.96;0.73;2014
7;United Kingdom;0.93;0.11;0.45;0.86;0.96;0.78;0.80;0.13;0.93;0.65;2014
8;Chile;1.00;0.41;0.52;0.22;0.00;0.29;0.00;0.88;0.36;0.63;2014
9;Netherlands;1.00;0.08;0.34;0.99;0.63;0.92;0.59;0.24;0.60;0.61;2014
10;New Zealand;0.87;0.24;0.61;0.39;0.00;0.83;0.17;1.00;0.92;0.67;2014
11;Germany;1.00;0.08;0.42;0.50;0.63;0.88;1.00;0.45;0.50;0.64;2014
12;Austria;0.98;0.08;0.71;0.33;0.25;0.77;0.82;0.36;0.42;0.57;2014
13;Denmark;0.98;0.07;0.61;0.82;0.35;0.86;0.55;0.22;0.76;0.59;2014
14;France;0.91;0.08;0.67;0.79;0.48;0.75;0.74;0.52;0.30;0.58;2014
15;South Africa;0.89;0.31;0.00;1.00;0.10;0.00;0.05;0.96;0.00;0.56;2014
16;China;1.00;0.25;0.00;0.11;0.52;0.28;0.36;0.34;0.48;0.58;2014
17;South Korea;0.91;0.17;0.00;1.00;0.94;1.00;0.96;0.00;0.18;0.54;2014
18;Mexico;0.83;0.25;0.38;0.00;0.00;0.09;0.58;0.60;0.00;0.47;2014
19;India;0.95;0.27;0.19;0.13;0.10;0.00;0.10;0.05;0.01;0.40;2014
20;Belgium;0.91;0.08;0.32;0.51;0.10;0.83;0.40;0.18;0.30;0.46;2014
21;Australia;0.55;0.19;0.00;0.59;0.85;0.86;0.00;0.99;0.32;0.55;2014
22;Russia;1.00;0.07;0.00;0.00;0.02;0.81;0.24;0.00;0.40;0.44;2014
23;Japan;0.63;0.07;0.26;0.89;0.75;1.00;1.00;0.64;0.59;0.58;2014
24;Brazil;0.56;0.36;0.94;0.15;0.35;0.00;0.26;0.79;0.02;0.46;2014
25;Turkey;0.59;0.35;0.43;0.00;0.33;0.37;0.15;0.62;0.00;0.43;2014
26;Hungary;0.00;0.30;0.36;0.03;0.04;0.77;0.74;0.26;0.24;0.18;2014
27;Ireland;0.46;0.08;0.55;0.75;0.29;0.88;0.64;0.00;0.66;0.35;2014
28;Spain;0.00;0.08;0.58;0.34;1.00;0.68;0.42;0.00;0.08;0.17;2014
29;Italy;0.00;0.08;0.56;0.75;0.77;0.73;0.68;0.09;0.00;0.17;2014
30;Portugal;0.00;0.08;0.70;0.69;0.48;0.78;0.12;0.01;0.19;0.13;2014
31;Greece;0.00;0.08;0.27;0.00;0.58;0.48;0.03;0.00;0.00;0.09;2014
1;Canada;0.96;0.16;0.25;0.54;0.90;0.99;0.47;1.00;0.93;0.80;2013
2;Switzerland;0.98;0.11;1.00;0.80;0.96;0.91;1.00;0.70;1.00;0.80;2013
3;Finland;0.96;0.14;0.30;0.97;0.88;1.00;0.85;0.95;0.67;0.78;2013
4;Norway;1.00;0.18;1.00;0.25;0.65;0.68;0.45;0.92;0.78;0.76;2013
5;Sweden;0.94;0.15;0.92;0.49;0.79;0.78;0.94;0.74;0.69;0.73;2013
6;Netherlands;1.00;0.14;0.31;1.00;0.63;0.93;0.60;0.31;0.67;0.64;2013
7;Chile;1.00;0.45;0.70;0.23;0.02;0.27;0.00;0.88;0.47;0.66;2013
8;United States;0.89;0.13;0.11;1.00;1.00;0.84;0.86;0.44;1.00;0.70;2013
9;United Kingdom;0.91;0.15;0.52;0.93;0.96;0.78;0.84;0.07;0.99;0.65;2013
10;Germany;1.00;0.14;0.41;0.51;0.63;0.89;1.00;0.39;0.50;0.64;2013
11;Austria;0.99;0.14;0.83;0.33;0.29;0.78;0.83;0.43;0.49;0.60;2013
12;New Zealand;0.75;0.24;0.71;0.41;0.00;0.83;0.18;1.00;0.92;0.64;2013
13;France;0.92;0.14;0.65;0.75;0.40;0.76;0.77;0.42;0.33;0.57;2013
